1,蘋果汁,1,1,每箱24瓶,18,39
2,牛奶,1,1,每箱24瓶,19,17
3,蕃茄醬,1,2,每箱12瓶,10,13
13,龍蝦,6,8,每袋500克,6,24
15,味素,6,2,每箱30盒,15.5,39
16,餅乾,7,3,每箱30盒,17.45,29
19,糖果,8,3,每箱30盒,9.2,25
21,花生,8,3,每箱30包,10,3
23,燕麥,9,5,每袋3公斤,9,61
24,汽水,10,1,每箱12瓶,4.5,20
25,巧克力,11,3,每箱30盒,14,76
31,溫馨起司,14,4,每箱12瓶,12.5,0
33,台中起司,15,4,每箱12瓶,2.5,112
34,啤酒,16,1,每箱24瓶,14,111
35,芭樂汁,16,1,每箱24瓶,18,20
36,魷魚,17,8,每袋3公斤,19,112
39,運動飲料,18,1,每箱24瓶,18,69
40,蝦米,19,8,每袋3公斤,18.4,123
41,蝦子,19,8,每袋3公斤,9.65,85
42,糙米,20,5,每袋3公斤,14,26
44,蠔油,20,2,每箱24瓶,19.45,27
45,雪魚,21,8,每袋3公斤,9.5,5
46,蚵,21,8,每袋3公斤,12,95
47,蛋糕,22,3,每箱24個,9.5,36
48,玉米片,22,3,每箱24包,12.75,15
49,薯條,23,3,每箱24包,20,10
50,玉米餅,23,3,每箱24包,16.25,65
52,三合一麥片,24,5,每箱24包,7,38
54,雞肉,25,6,每袋3公斤,7.45,21
57,小米,26,5,每袋3公斤,19.5,36
58,花枝,27,8,每袋3公斤,13.25,62
66,肉鬆,2,2,每箱24瓶,17,4
67,礦泉水,16,1,每箱24瓶,14,52
68,綠豆糕,8,3,每箱24包,12.5,6
70,蘇打水,7,1,每箱24瓶,15,15
73,海哲皮,17,8,每袋3公斤,15,101
74,雞湯塊,4,7,每盒24個,10,4
75,濃縮咖啡,12,1,每箱24瓶,7.75,125
76,檸檬汁,23,1,每箱24瓶,18,57
77,辣椒粉,12,2,每袋3公斤,13,32
